OID,Latitude (N),Longitude (E),Blended LRO/LOLA and SELENE/Kaguya DEM
47,25.9990234375,116.7490234375,12.0
48,25.999023437500004,116.75097656250003,7.0
49,25.9990234375,116.75292968749997,-0.5
50,25.9990234375,116.7548828125,-8.0
51,25.9990234375,116.7568359375,-16.5
52,25.9990234375,116.75878906250003,-22.0
53,25.9990234375,116.76074218750003,-28.5
54,25.9990234375,116.76269531249997,-38.5
55,25.9990234375,116.76464843750003,-48.0
56,25.9990234375,116.76660156249997,-54.5
57,25.9990234375,116.7685546875,-61.5
58,25.9990234375,116.77050781250003,-68.0
59,25.9990234375,116.7724609375,-73.0
60,25.999023437500004,116.7744140625,-83.5
61,25.9990234375,116.7763671875,-89.5
62,25.9990234375,116.77832031250003,-96.5
63,25.9990234375,116.7802734375,-100.5
64,25.9990234375,116.78222656249997,-107.0
65,25.9990234375,116.78417968750003,-114.5
66,25.9990234375,116.78613281250003,-122.0
67,25.9990234375,116.78808593749997,-128.5
68,25.9990234375,116.7900390625,-137.5
69,25.9990234375,116.7919921875,-145.5
70,25.9990234375,116.7939453125,-150.0
71,25.9990234375,116.79589843749997,-156.5
72,25.9990234375,116.7978515625,-159.0
73,25.9990234375,116.7998046875,-160.0
74,25.999023437500004,116.8017578125,-162.5
75,25.9990234375,116.80371093750003,-163.0
76,25.9990234375,116.80566406250003,-164.5
77,25.9990234375,116.80761718749997,-168.0
78,25.9990234375,116.8095703125,-172.5
79,25.9990234375,116.8115234375,-172.5
80,25.9990234375,116.8134765625,-173.5
81,25.999023437500004,116.81542968749997,-176.0
82,25.9990234375,116.8173828125,-176.0
83,25.9990234375,116.8193359375,-175.0
84,25.9990234375,116.8212890625,-177.0
85,25.9990234375,116.82324218750003,-180.5
86,25.9990234375,116.8251953125,-179.0
87,25.9990234375,116.82714843749997,-179.0
88,25.9990234375,116.82910156249997,-178.5
89,25.9990234375,116.83105468750003,-180.0
90,25.9990234375,116.83300781250006,-179.5
91,25.9990234375,116.83496093749997,-180.0
92,25.9990234375,116.8369140625,-183.0
93,25.9990234375,116.8388671875,-179.5
94,25.9990234375,116.84082031249997,-183.0
95,25.9990234375,116.8427734375,-178.0
96,25.999023437500004,116.8447265625,-178.0
97,25.9990234375,116.84667968750003,-175.0
98,25.9990234375,116.84863281249994,-169.0
99,25.9990234375,116.85058593749997,-166.5
100,25.9990234375,116.85253906250006,-162.0
101,25.9990234375,116.85449218749997,-156.5
102,25.9990234375,116.8564453125,-153.5
103,25.9990234375,116.85839843749997,-146.0
104,25.9990234375,116.86035156250003,-145.0
105,25.9990234375,116.8623046875,-135.5
106,25.9990234375,116.8642578125,-129.0
107,25.9990234375,116.86621093750003,-125.5
108,25.9990234375,116.86816406249994,-118.5
109,25.9990234375,116.8701171875,-112.5
110,25.9990234375,116.87207031250003,-105.0
111,25.9990234375,116.87402343750003,-102.5
112,25.9990234375,116.8759765625,-89.0
113,25.9990234375,116.87792968749997,-86.5
114,25.9990234375,116.8798828125,-76.0
115,25.9990234375,116.8818359375,-70.5
116,25.9990234375,116.8837890625,-64.0
117,25.9990234375,116.88574218750003,-59.0
118,25.9990234375,116.8876953125,-55.0
119,25.9990234375,116.8896484375,-54.0
120,25.9990234375,116.89160156250003,-51.0
121,25.9990234375,116.89355468750003,-48.5
122,25.999023437500004,116.89550781249997,-50.0
123,25.9990234375,116.89746093749997,-54.5
124,25.9990234375,116.8994140625,-60.0
125,25.9990234375,116.9013671875,-66.0
126,25.999023437500004,116.90332031249997,-73.5
127,25.9990234375,116.90527343750003,-81.5
128,25.9990234375,116.9072265625,-87.0
129,25.9990234375,116.9091796875,-89.0
130,25.9990234375,116.91113281249994,-88.0
131,25.999023437500004,116.91308593750003,-91.5
132,25.9990234375,116.9150390625,-97.0
133,25.9990234375,116.91699218749997,-99.0
134,25.9990234375,116.91894531250003,-102.0
135,25.9990234375,116.9208984375,-107.0
136,25.9990234375,116.92285156249997,-113.0
137,25.9990234375,116.9248046875,-115.5
138,25.9990234375,116.9267578125,-116.5
139,25.9990234375,116.9287109375,-117.0
140,25.9990234375,116.93066406249997,-116.0
141,25.9990234375,116.9326171875,-114.0
142,25.9990234375,116.93457031250003,-112.5
143,25.9990234375,116.9365234375,-109.0
144,25.9990234375,116.93847656250003,-104.0
145,25.999023437500004,116.94042968749997,-97.5
146,25.9990234375,116.94238281249997,-88.0
147,25.9990234375,116.9443359375,-75.0
148,25.9990234375,116.9462890625,-64.0
149,25.9990234375,116.94824218750003,-53.0
150,25.9990234375,116.95019531249997,-39.5
151,25.9990234375,116.9521484375,-27.0
152,25.9990234375,116.95410156250003,-13.0
153,25.9990234375,116.95605468749994,-2.5
154,25.9990234375,116.9580078125,9.0
